title,point,hit,review,star,address,telephone
로얄라운지,0,"3,913",2,24,"서울특별시 강남구 논현로 709
지번 서울시 강남구 논현동 36-8",02-514-1247
So What,0,"3,476",2,58,"서울특별시 강남구 도산대로17길 22
지번 서울시 강남구 신사동 560-6",010-7343-0212
낰낰,0,"1,006",2,19,"서울특별시 강남구 학동로11길 20-7 B2
지번 서울시 강남구 논현동 41-13 B2",0507-1429-9087
와인바 컨티뉴엄,0,963,1,18,"서울특별시 강남구 테헤란로 231 EAST E205호
지번 서울시 강남구 역삼동 676 EAST E205호",010-8296-7214
보바베어,0,"14,806",10,92,"서울특별시 강남구 압구정로12길 13 2F
지번 서울시 강남구 신사동 547-2 2F",02-3445-8585
개츠비 바이리,0,"4,476",3,107,"서울특별시 강남구 도산대로55길 37 B1
지번 서울시 강남구 청담동 84-14 B1",02-511-2606
샴,0,"7,521",3,124,"서울특별시 강남구 압구정로46길 5-6
지번 서울시 강남구 신사동 660-17",070-4125-6413
제너릭,0,792,4,26,"서울특별시 강남구 삼성로 730 5F
지번 서울시 강남구 청담동 63-12 5F",0507-1369-2382
뱀파이어 위켄드 와인바,0,"2,808",2,22,"서울특별시 강남구 삼성로140길 6 라파빌딩 B1
지번 서울시 강남구 청담동 63-11 라파빌딩 B1",02-516-5571
레브,0,399,2,8,"서울특별시 강남구 언주로172길 54 1F
지번 서울시 강남구 신사동 663 1F",070-4120-5500
애니오케이션 베이스먼트,0,300,1,17,"서울특별시 강남구 도산대로51길 14 B2
지번 서울시 강남구 신사동 654-12 B2",0507-1430-1471
B28,0,"5,049",15,199,"서울특별시 강남구 도산대로55길 24 B1
지번 서울시 강남구 청담동 88-2 B1",010-3402-2828
비노쿠스테이블,0,"1,854",2,96,"서울특별시 강남구 학동로44길 26
지번 서울시 강남구 논현동 247-7",070-8807-2477
쿨쉽다이닝,0,868,2,51,"서울특별시 강남구 도산대로25길 43 2F
지번 서울시 강남구 신사동 553-25 2F",010-4695-5425
제이앤엘클래식바,0,"5,173",1,46,"서울특별시 강남구 도산대로45길 14
지번 서울시 강남구 신사동 650-16",02-545-0890
싸우나 뮤직바,0,"2,053",1,6,"서울특별시 강남구 도산대로87길 11
지번 서울시 강남구 청담동 122-30",02-3448-8897
뉴욕바,0,511,1,1,"서울특별시 강남구 강남대로84길 24-4 B1
지번 서울시 강남구 역삼동 827-3 B1",0507-1368-8516
프레임 FRAME,0,376,1,24,"서울특별시 강남구 도산대로11길 32 2F
지번 서울시 강남구 신사동 535-8 2F",02-499-9731
와인주막차차,0,"9,068",6,127,"서울특별시 강남구 논현로94길 25-5 화가빌딩 2F
지번 서울시 강남구 역삼동 670-17 화가빌딩 2F",02-554-0722
노퍼블릭 하우스,0,"2,305",3,19,"서울특별시 강남구 논현로159길 65 3F
지번 서울시 강남구 신사동 545-1 3F",02-540-3714
