title,point,hit,review,star,address,telephone
캐시바,0,"5,265",4,20,"서울특별시 강남구 봉은사로2길 10
지번 서울시 강남구 역삼동 809-2",02-565-5465
와인어클락,0,"3,919",4,38,"서울특별시 강남구 강남대로106길 14 오성빌딩 2F
지번 서울시 강남구 역삼동 813-2 오성빌딩 2F",02-563-2200
트리하우스,0,"6,168",3,120,"서울특별시 강남구 삼성로104길 21
지번 서울시 강남구 삼성동 148-13",02-556-2017
레 끌레 드 크리스탈,0,"1,183",3,36,"서울특별시 강남구 압구정로79길 8 하나빌딩 2-3F
지번 서울시 강남구 청담동 119-8 하나빌딩 2-3F",02-515-1198
라뷸,0,"8,050",2,362,"서울특별시 강남구 압구정로80길 24 B1
지번 서울시 강남구 청담동 95-5 B1",02-511-5692
하프컷,0,"1,908",2,27,"서울특별시 강남구 삼성로75길 32 1F 101호
지번 서울시 강남구 대치동 901-60 1F 101호",02-6053-1919
청담하우스바,0,"3,495",1,27,"서울특별시 강남구 선릉로152길 21
지번 서울시 강남구 청담동 89-6",010-3241-7456
타임,0,"2,442",1,23,"서울특별시 강남구 선릉로 344
지번 서울시 강남구 대치동 908",칵테일 / 와인
록키,0,78,4,3,"서울특별시 강남구 압구정로10길 30-7
지번 서울시 강남구 신사동 524-21",칵테일 / 와인
에스653,0,"5,064",2,27,"서울특별시 강남구 도산대로51길 19
지번 서울시 강남구 신사동 653-4",010-3700-1117
Esum,0,"4,537",2,63,"서울특별시 강남구 봉은사로4길 32 B1
지번 서울시 강남구 역삼동 813-3 B1",010-9281-3828
그랑아 2,0,"2,218",2,3,"서울특별시 강남구 봉은사로 130
지번 서울시 강남구 역삼동 603",02-531-6868
영심이와세컨드바,0,"3,910",1,35,"서울특별시 강남구 테헤란로84길 9
지번 서울시 강남구 대치동 943-8",02-555-9438
SMT House Lobby Lounge,0,"1,775",1,16,"서울특별시 강남구 압구정로79길 58 1F
지번 서울시 강남구 청담동 125-24 1F",02-515-9201
보야저,0,261,1,7,"서울특별시 강남구 도산대로45길 10-2 B1
지번 서울시 강남구 신사동 651-2 B1",070-8886-7799
원하프라운지펍,0,101,1,2,"서울특별시 강남구 가로수길 19 B1
지번 서울시 강남구 신사동 536-18 B1",0507-1332-3756
오픈엔드,0,91,1,1,"서울특별시 강남구 도산대로51길 14 3F
지번 서울시 강남구 신사동 654-12 3F",0507-1302-5883
디깅,0,"8,084",4,85,"서울특별시 강남구 테헤란로10길 14 B1
지번 서울시 강남구 역삼동 823-8 B1",02-562-1014
도시문,0,771,4,17,"서울특별시 강남구 남부순환로351길 4
지번 서울시 강남구 도곡동 957",02-579-3002
코르바니w,0,961,3,18,"서울특별시 강남구 도산대로11길 31-7
지번 서울시 강남구 신사동 517-25",0507-1442-8923
