title,point,hit,review,star,address,telephone,image
하우스오브알케미,0,"7,199",6,155,"서울특별시 강남구 압구정로 102 라까사호텔
지번 서울시 강남구 신사동 527-4 라까사호텔",02-6190-0909,"https://mp-seoul-image-production-s3.mangoplate.com/540600_1505058690004764.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
그늘,0,147,5,5,"서울특별시 강남구 도산대로66길 13
지번 서울시 강남구 청담동 18-23",02-540-1318,"https://mp-seoul-image-production-s3.mangoplate.com/2441259_1669773721275607.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
셜록,0,"4,883",8,118,"서울특별시 강남구 도산대로83길 17 B1
지번 서울시 강남구 청담동 117-38 B1",070-8885-0221,"https://mp-seoul-image-production-s3.mangoplate.com/185879/83_1420012135239?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
비비노 알트로몬도,0,532,3,12,"서울특별시 강남구 도산대로17길 39 예지빌딩 B1
지번 서울시 강남구 신사동 544-26 예지빌딩 B1",0507-1375-3606,"https://mp-seoul-image-production-s3.mangoplate.com/468168/181795_1672147255483_1000004173?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
로비라운지바,0,"3,046",5,25,"서울특별시 강남구 봉은사로 524 코엑스인터콘티넨탈서울 1F
지번 서울시 강남구 삼성동 159 코엑스인터콘티넨탈서울 1F",02-3430-8603,"https://mp-seoul-image-production-s3.mangoplate.com/586336_1644892565936361.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
더더치치즈앤모어,0,"1,596",3,22,"서울특별시 강남구 선릉로 660
지번 서울시 강남구 삼성동 8-2",칵테일 / 와인,"https://mp-seoul-image-production-s3.mangoplate.com/688671_1675253054086893.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
키퍼스,0,"5,299",2,122,"서울특별시 강남구 선릉로152길 18 B1
지번 서울시 강남구 청담동 87-9 B1",02-549-9992,"https://mp-seoul-image-production-s3.mangoplate.com/1427_1500409319081144.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
레 부르주아,0,"2,574",2,53,"서울특별시 강남구 강남대로152길 46 2F
지번 서울시 강남구 신사동 537-4 2F",02-6085-5695,"https://mp-seoul-image-production-s3.mangoplate.com/431478/1888415_1650254398381_5490?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
오늘와인한잔,0,"4,570",7,39,"서울특별시 강남구 강남대로156길 40
지번 서울시 강남구 신사동 516-10",070-4098-7006,"https://mp-seoul-image-production-s3.mangoplate.com/26135_1596292644813061.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
와인북카페,0,"12,798",9,240,"서울특별시 강남구 논현로149길 5
지번 서울시 강남구 논현동 8-9",02-549-0490,"https://mp-seoul-image-production-s3.mangoplate.com/764_1428362284004?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
머스크,0,"2,598",5,77,"서울특별시 강남구 언주로152길 14 로데오빌딩
지번 서울시 강남구 신사동 630-21 로데오빌딩",02-543-6321,"https://mp-seoul-image-production-s3.mangoplate.com/840737_1671433641009367.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
하이퍼서울,0,"4,731",2,66,"서울특별시 강남구 강남대로96길 15 B1
지번 서울시 강남구 역삼동 817-18 B1",010-9891-9615,"https://mp-seoul-image-production-s3.mangoplate.com/427007/532309_1617375313250_103354?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
코미디클럽,0,"2,102",1,5,"서울특별시 강남구 도산대로 507 B1
지번 서울시 강남구 청담동 120-3 B1",02-543-1123,"https://mp-seoul-image-production-s3.mangoplate.com/357329/1123244_1535093196404_5912?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
공베르,0,"1,793",3,40,"서울특별시 강남구 압구정로50길 28 113호
지번 서울시 강남구 신사동 658 113호",02-517-0872,"https://mp-seoul-image-production-s3.mangoplate.com/522207_1635610663246230.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
패리스비치,0,"4,276",3,85,"서울특별시 강남구 압구정로42길 36
지번 서울시 강남구 신사동 635-14",02-3444-1905,"https://mp-seoul-image-production-s3.mangoplate.com/112634_1601901329705787.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
시카고갤러리라운지,0,"6,791",1,12,"서울특별시 강남구 도산대로 205
지번 서울시 강남구 신사동 587-1",1566-1263,"https://mp-seoul-image-production-s3.mangoplate.com/408438/1532365_1576487804888_9408?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
곰방대 (휴업중),0,"3,875",4,20,"서울특별시 강남구 학동로6길 53 B1
지번 서울시 강남구 논현동 158-35 B1",010-2862-1991,"https://mp-seoul-image-production-s3.mangoplate.com/sources/web/restaurants/410105/1678444_1589095278960?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
휴일,0,"2,798",4,62,"서울특별시 강남구 역삼로3길 20-4 영광빌딩 B1
지번 서울시 강남구 역삼동 830-9 영광빌딩 B1",02-568-9901,"https://mp-seoul-image-production-s3.mangoplate.com/705256_1640261420065496.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
청담니은,0,"2,540",4,42,"서울특별시 강남구 도산대로70길 9 B
지번 서울시 강남구 청담동 13 B",010-2786-5948,"https://mp-seoul-image-production-s3.mangoplate.com/1047892_1652398023280828.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
한량블루스,0,"1,352",3,11,"서울특별시 서초구 서초대로75길 45 3F
지번 서울시 서초구 서초동 1308-2 3F",02-533-5759,"https://mp-seoul-image-production-s3.mangoplate.com/32408_1663731662494916.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
