title,point,hit,review,star,address,telephone,image
스틸,3.8,"19,340",14,718,"서울특별시 강남구 선릉로152길 7 홍경빌딩 B1
지번 서울시 강남구 청담동 85-7 홍경빌딩 B1",02-547-2016,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/433864_1449033171497.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
미스터칠드런바,3.8,"15,899",11,417,"서울특별시 강남구 도산대로55길 43
지번 서울시 강남구 청담동 84-25",02-545-8425,"https://mp-seoul-image-production-s3.mangoplate.com/259345/230933_1478269978017_39617?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
앨리스,3.7,"14,219",28,559,"서울특별시 강남구 도산대로55길 47
지번 서울시 강남구 청담동 84-20",02-511-8420,"https://mp-seoul-image-production-s3.mangoplate.com/550856_1534691851920501.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
르캬바레도산,3.7,"18,229",14,567,"서울특별시 강남구 도산대로 216 청담에이든호텔 18F
지번 서울시 강남구 논현동 60-8 청담에이든호텔 18F",02-6713-6730,"https://mp-seoul-image-production-s3.mangoplate.com/596640_1561011424158251.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
와인웍스,3.7,"12,980",11,143,"서울특별시 강남구 테헤란로 517 현대백화점무역센터점
지번 서울시 강남구 삼성동 159-7 현대백화점무역센터점",02-3467-6065,"https://mp-seoul-image-production-s3.mangoplate.com/450387/172778_1628320637418_107862?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
어글리,3.7,"28,289",16,728,"서울특별시 강남구 강남대로96길 5 5F
지번 서울시 강남구 역삼동 816-4 5F",02-501-4222,"https://mp-seoul-image-production-s3.mangoplate.com/358081/2314302_1666464954259_1000000216?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
메리가든,3.7,"7,901",8,100,"서울특별시 강남구 봉은사로 113 호텔 더 디자이너스 리즈
지번 서울시 강남구 논현동 201-11 호텔 더 디자이너스 리즈",02-517-9702,"https://mp-seoul-image-production-s3.mangoplate.com/618033_1509761540588583.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
마녀주방,3.5,"52,893",86,"1,092","서울특별시 강남구 강남대로94길 9
지번 서울시 강남구 역삼동 818-14",070-4240-1116,"https://mp-seoul-image-production-s3.mangoplate.com/188568/reviews/a419511b045f.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
파복스,3.5,"58,485",39,"1,568","서울특별시 강남구 테헤란로1길 26
지번 서울시 강남구 역삼동 817-10",02-3452-3489,"https://mp-seoul-image-production-s3.mangoplate.com/664/242283_1443539004791839583?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
플랫나인,3.5,"7,144",16,128,"서울특별시 서초구 강남대로65길 10 5F
지번 서울시 서초구 서초동 1308-15 5F",02-532-9630,"https://mp-seoul-image-production-s3.mangoplate.com/429590/1575751_1670541219448_49218?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
데노체,3.5,"4,858",7,74,"서울특별시 강남구 압구정로2길 46 1F
지번 서울시 강남구 신사동 510-11 1F",02-545-4005,"https://mp-seoul-image-production-s3.mangoplate.com/359571/1575751_1673802638145_50273?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
오늘와인한잔,3.5,"5,732",7,46,"서울특별시 강남구 강남대로96길 11-4 B1
지번 서울시 강남구 역삼동 817-16 B1",02-555-0535,"https://mp-seoul-image-production-s3.mangoplate.com/1959785_1674835780253594.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
컬렉션라운지,3.4,"19,308",38,453,"서울특별시 강남구 압구정로10길 33
지번 서울시 강남구 신사동 534",070-4229-0050,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/61216_1460534103322133.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
아브라소812,3.4,"10,416",14,241,"서울특별시 강남구 봉은사로4길 29 B1
지번 서울시 강남구 역삼동 812 B1",070-8810-0812,"https://mp-seoul-image-production-s3.mangoplate.com/16638_1422636895934?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
와인코르크,3.4,"28,662",21,625,"서울특별시 강남구 테헤란로1길 28-9
지번 서울시 강남구 역삼동 817-30",02-501-6335,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/365650_145541309019546.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
월매네주막,3.4,"13,604",14,122,"서울특별시 서초구 강남대로 437 1F
지번 서울시 서초구 서초동 1305-3 1F",02-537-6684,"https://mp-seoul-image-production-s3.mangoplate.com/77183/reviews/a3b46561d3a9.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
고센,3.3,"21,485",74,356,"서울특별시 강남구 선릉로158길 18
지번 서울시 강남구 청담동 88-23",02-515-1863,"https://mp-seoul-image-production-s3.mangoplate.com/1121/2.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
엘세뇨르둘세,3.2,"6,795",14,191,"서울특별시 강남구 도산대로101길 22
지번 서울시 강남구 청담동 128-6",02-516-6157,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/247128_145549738078784.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
카페슬로우,3.2,"46,422",52,933,"서울특별시 서초구 서초대로77길 35 1F
지번 서울시 서초구 서초동 1308-12 1F",02-3482-0111,"https://mp-seoul-image-production-s3.mangoplate.com/13557/47750_1420045487967?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
아실라,3.1,"27,000",19,588,"서울특별시 강남구 강남대로98길 16 파빌리온빌딩 B1
지번 서울시 강남구 역삼동 817-35 파빌리온빌딩 B1",02-508-4665,"https://mp-seoul-image-production-s3.mangoplate.com/50829/470644_1477477944073_69319?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
