title,point,hit,review,star,address,telephone
화이트바,0,"14,348",13,347,"서울특별시 강남구 압구정로80길 30 삼도빌딩 B1
지번 서울시 강남구 청담동 93-14 삼도빌딩 B1",02-6207-7429
더라이온스덴,0,"22,352",14,396,"서울특별시 강남구 선릉로158길 7
지번 서울시 강남구 청담동 84-11",02-512-1136
문온더씨,0,"3,935",11,73,"서울특별시 강남구 삼성로82길 19 B1
지번 서울시 강남구 대치동 956-28 B1",02-501-0111
바 밀라,0,"3,178",3,79,"서울특별시 강남구 삼성로149길 13 2F
지번 서울시 강남구 청담동 12-12 2F",02-544-4761
볼트82,0,"71,728",23,"2,117","서울특별시 강남구 압구정로72길 22
지번 서울시 강남구 청담동 95-15",02-544-9234
호사,0,"3,299",12,67,"서울특별시 강남구 선릉로148길 39
지번 서울시 강남구 청담동 3-15",02-545-9259
페타테,0,"22,772",9,628,"서울특별시 강남구 압구정로14길 32 2F
지번 서울시 강남구 신사동 546-20 2F",02-516-3342
크르크르,0,"1,621",5,60,"서울특별시 강남구 압구정로42길 25-10 5F
지번 서울시 강남구 신사동 643-20 5F",070-7738-3249
사이드웨이,0,"48,870",30,812,"서울특별시 강남구 강남대로98길 28
지번 서울시 강남구 역삼동 817-38",02-555-9925
화빙장,0,"7,903",4,248,"서울특별시 강남구 압구정로50길 8
지번 서울시 강남구 신사동 660-10",02-540-2999
루프탑바,0,"11,571",11,176,"서울특별시 강남구 봉은사로 155 호텔 카푸치노 17F
지번 서울시 강남구 논현동 206-1 호텔 카푸치노 17F",02-2038-9618
노마드,0,"6,395",8,114,"서울특별시 강남구 도산대로101길 28
지번 서울시 강남구 청담동 128-3",02-511-1283
레솔베르,0,"3,261",2,27,"서울특별시 강남구 도산대로57길 13-4 2F
지번 서울시 강남구 청담동 88-29 2F",010-2969-9154
삼성리,0,"10,699",5,129,"서울특별시 강남구 봉은사로86길 28
지번 서울시 강남구 삼성동 148-10",02-6401-0200
타로맨스,0,"4,848",7,70,"서울특별시 강남구 도곡로11길 10
지번 서울시 강남구 역삼동 835-33",010-4983-9410
모드라운지,0,"1,813",35,31,"서울특별시 서초구 서초대로77길 37 월드상가 10F
지번 서울시 서초구 서초동 1308-10 월드상가 10F",0507-1365-8923
청담대패당,0,"5,646",5,105,"서울특별시 강남구 도산대로 420 청담스퀘어 타워빌딩 320호
지번 서울시 강남구 청담동 3 청담스퀘어 타워빌딩 320호",02-6480-8989
서울러,0,"6,368",8,130,"서울특별시 강남구 강남대로152길 69 B1
지번 서울시 강남구 신사동 540-18 B1",010-9929-6199
바인하우스,0,"3,886",5,49,"서울특별시 강남구 도산대로89길 13 B1
지번 서울시 강남구 청담동 123-53 B1",070-4231-6616
오르빗,0,856,3,38,"서울특별시 강남구 선릉로157길 13 B1
지번 서울시 강남구 신사동 657-36 B1",02-548-3828
