title,point,hit,review,star,address,telephone,image
Esum,0,"4,539",2,63,"서울특별시 강남구 봉은사로4길 32 B1
지번 서울시 강남구 역삼동 813-3 B1",010-9281-3828,"https://mp-seoul-image-production-s3.mangoplate.com/412971/1481179_1660444281412_1660444205236.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
그랑아 2,0,"2,220",2,3,"서울특별시 강남구 봉은사로 130
지번 서울시 강남구 역삼동 603",02-531-6868,"https://mp-seoul-image-production-s3.mangoplate.com/828430_1662236774582088.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
영심이와세컨드바,0,"3,911",1,35,"서울특별시 강남구 테헤란로84길 9
지번 서울시 강남구 대치동 943-8",02-555-9438,"https://mp-seoul-image-production-s3.mangoplate.com/52797/reirei_amza-yi.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
SMT House Lobby Lounge,0,"1,776",1,16,"서울특별시 강남구 압구정로79길 58 1F
지번 서울시 강남구 청담동 125-24 1F",02-515-9201,"https://mp-seoul-image-production-s3.mangoplate.com/449693_1607157316335208.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
보야저,0,263,1,7,"서울특별시 강남구 도산대로45길 10-2 B1
지번 서울시 강남구 신사동 651-2 B1",070-8886-7799,"https://mp-seoul-image-production-s3.mangoplate.com/338150_1640960545644828.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
원하프라운지펍,0,102,1,2,"서울특별시 강남구 가로수길 19 B1
지번 서울시 강남구 신사동 536-18 B1",0507-1332-3756,"https://mp-seoul-image-production-s3.mangoplate.com/2068598_1665971091511422.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
오픈엔드,0,93,1,1,"서울특별시 강남구 도산대로51길 14 3F
지번 서울시 강남구 신사동 654-12 3F",0507-1302-5883,"https://mp-seoul-image-production-s3.mangoplate.com/502704/26737_1669815564596_1000002762?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
디깅,0,"8,085",4,85,"서울특별시 강남구 테헤란로10길 14 B1
지번 서울시 강남구 역삼동 823-8 B1",02-562-1014,"https://mp-seoul-image-production-s3.mangoplate.com/333427/860016_1506166096527_78483?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
도시문,0,778,4,17,"서울특별시 강남구 남부순환로351길 4
지번 서울시 강남구 도곡동 957",02-579-3002,"https://mp-seoul-image-production-s3.mangoplate.com/454903/1575751_1666371808877_47741?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
코르바니w,0,966,3,18,"서울특별시 강남구 도산대로11길 31-7
지번 서울시 강남구 신사동 517-25",0507-1442-8923,"https://mp-seoul-image-production-s3.mangoplate.com/598583_1631942176409502.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
