title,point,hit,review,star,address,telephone,image
루베크,0,"13,675",10,169,"서울특별시 서초구 서초대로73길 50 대원빌딩 4F
지번 서울시 서초구 서초동 1309-5 대원빌딩 4F",02-594-1016,"https://mp-seoul-image-production-s3.mangoplate.com/901972_1512208612606718.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
압구정의 하루일과,0,"3,547",5,55,"서울특별시 강남구 압구정로29길 71 현대상가 2동 1F
지번 서울시 강남구 압구정동 369-1 현대상가 2동 1F",02-547-6611,"https://mp-seoul-image-production-s3.mangoplate.com/1476505_1643032564024667.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
더미트,0,"9,370",16,74,"서울특별시 강남구 봉은사로2길 19
지번 서울시 강남구 역삼동 810-4",02-557-1122,"https://mp-seoul-image-production-s3.mangoplate.com/188418_1426855358103?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
헬로우,0,"47,501",22,"1,516","서울특별시 강남구 논현로151길 55 호경빌딩 B1
지번 서울시 강남구 신사동 541-2 호경빌딩 B1",02-541-4427,"https://mp-seoul-image-production-s3.mangoplate.com/48/reviews/32222594d199.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
콜마인,0,646,0,12,"서울특별시 강남구 압구정로50길 5-12 B1
지번 서울시 강남구 신사동 661-10 B1",070-8623-9779,"https://mp-seoul-image-production-s3.mangoplate.com/2199903_1646640011208857.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
멜랑즈,0,"7,022",5,268,"서울특별시 강남구 도산대로50길 16 2F
지번 서울시 강남구 논현동 96-11 2F",02-512-5980,"https://mp-seoul-image-production-s3.mangoplate.com/641043_1613123471124129.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
게스후,0,"7,115",4,92,"서울특별시 강남구 논현로 819 MK빌딩 B1
지번 서울시 강남구 신사동 586 MK빌딩 B1",02-547-9063,"https://mp-seoul-image-production-s3.mangoplate.com/93136/453121_1451650088162_311318?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
판치야,0,"2,741",1,19,"서울특별시 강남구 학동로53길 29 대림빌딩
지번 서울시 강남구 논현동 109-26 대림빌딩",010-4349-3323,"https://mp-seoul-image-production-s3.mangoplate.com/365910/743008_1607175905516_35430?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
영화와인셀러,0,"2,826",2,12,"서울특별시 강남구 언주로93길 32-6
지번 서울시 강남구 역삼동 672-33",02-553-7233,"https://mp-seoul-image-production-s3.mangoplate.com/1476505_1657600563757061.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
제이앤제이슨,0,"22,787",9,221,"서울특별시 강남구 도산대로49길 31 B1
지번 서울시 강남구 신사동 647-14 B1",010-7430-7053,"https://mp-seoul-image-production-s3.mangoplate.com/321182/op-j7pg50d0ume.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
펄쉘프리미에,0,"5,054",4,169,"서울특별시 강남구 압구정로42길 49 B1
지번 서울시 강남구 신사동 645-28 B1",02-3446-0916,"https://mp-seoul-image-production-s3.mangoplate.com/338150_1669556612105178.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
크레이지와인바,0,"5,147",2,41,"서울특별시 강남구 도산대로51길 41 2F
지번 서울시 강남구 신사동 657-21 2F",02-516-9994,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/718886_1487202498449126.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
믹솔로지,0,"5,431",10,145,"서울특별시 강남구 도산대로58길 18 B1
지번 서울시 강남구 청담동 22-14 B1",02-511-8214,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/565774_1465303532216143.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
누앙스미묘한차이,0,"4,534",9,103,"서울특별시 강남구 압구정로72길 7
지번 서울시 강남구 청담동 99-1",02-514-8077,"https://mp-seoul-image-production-s3.mangoplate.com/955529_1519563769228984.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
피플더테라스,0,"7,779",8,92,"서울특별시 강남구 도산대로81길 13
지번 서울시 강남구 청담동 118-19",02-511-8113,"https://mp-seoul-image-production-s3.mangoplate.com/423223/1901665_1620203798346_26841?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
디태치먼트,0,"5,720",4,119,"서울특별시 강남구 논현로151길 18
지번 서울시 강남구 신사동 562-13",02-511-8782,"https://mp-seoul-image-production-s3.mangoplate.com/619788_1604712285263706.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
